timestamp,temperature,ph,tds,turbidity,ph_variance,tds_variance,temperature_variance,turbidity_variance,kh,computed_WQI,maintenance_state,dissolved_oxygen,fish_stress_score,ground_truth_label,label_confidence,is_anomaly,raw_ph,raw_tds,raw_temperature,raw_turbidity,true_ph,true_tds
2026-01-01T00:00:00,24.2,7.01,150,2.1,0.0,0.0,0.0,0.0,6.0,100.0,Stable,8.42,1.45,NORMAL_STABLE,1.0,0,0.0,0.0,0.0,0.0,7.0,150.0
2026-01-01T00:05:00,24.1,7.01,149,2.0,0.000149,2.0855,0.023798,0.016801,6.0,100.0,Stable,8.44,1.44,NORMAL_STABLE,1.0,0,7.01,148.94253036560315,24.1,2.0,7.01,148.9
2026-01-01T00:10:00,24.0,7.01,149,2.2,0.000164,1.3643,0.013826,0.007498,6.0,100.0,Stable,8.42,1.44,NORMAL_STABLE,1.0,0,7.01,148.94287758782536,24.0,2.2,7.01,148.9
2026-01-01T00:15:00,23.9,7.01,149,2.3,0.000557,1.1456,0.007367,0.03006,6.0,100.0,Stable,8.42,1.44,NORMAL_STABLE,1.0,0,7.01,148.9432248100476,23.9,2.3,7.01,148.9
2026-01-01T00:20:00,23.7,7.01,149,2.6,0.000113,4.0042,0.015599,0.008473,6.0,100.0,Stable,8.4,1.44,NORMAL_STABLE,1.0,0,7.01,148.94357203226983,23.7,2.6,7.01,148.9
2026-01-01T00:25:00,23.7,7.01,149,2.6,0.000367,5.0809,0.008845,0.017602,6.0,100.0,Stable,8.39,1.44,NORMAL_STABLE,1.0,0,7.01,148.94391925449204,23.7,2.6,7.01,148.9
2026-01-01T00:30:00,23.6,7.01,149,2.7,0.000597,4.0148,0.010829,0.00925,6.0,100.0,Stable,8.4,1.44,NORMAL_STABLE,1.0,0,7.01,148.94426647671426,23.6,2.7,7.01,148.9
2026-01-01T00:35:00,23.5,7.01,151,2.8,0.000124,1.3719,0.015488,0.029934,6.0,100.0,Stable,8.39,1.44,NORMAL_STABLE,1.0,0,7.01,150.63438031848563,23.5,2.8,7.01,150.6
2026-01-01T00:40:00,23.6,7.02,151,2.8,0.000352,2.6934,0.015494,0.01465,6.0,100.0,Stable,8.39,1.45,NORMAL_STABLE,1.0,0,7.02,150.63472754070784,23.6,2.8,7.02,150.6
2026-01-01T00:45:00,23.6,7.02,151,2.7,0.00026,2.7773,0.012644,0.022635,6.0,100.0,Stable,8.4,1.45,NORMAL_STABLE,1.0,0,7.02,150.6350747629301,23.6,2.7,7.02,150.6
2026-01-01T00:50:00,23.5,7.01,151,2.6,0.00037,3.6099,0.016506,0.023344,6.0,100.0,Stable,8.43,1.44,NORMAL_STABLE,1.0,0,7.01,150.6354219851523,23.5,2.6,7.01,150.6
2026-01-01T00:55:00,23.5,7.01,151,2.7,0.000256,2.0528,0.017135,0.024864,6.0,100.0,Stable,8.43,1.44,NORMAL_STABLE,1.0,0,7.01,150.63576920737452,23.5,2.7,7.01,150.6
2026-01-01T01:00:00,23.4,7.02,151,2.7,0.000181,1.1874,0.00479,0.04473,6.0,100.0,Stable,8.43,1.45,NORMAL_STABLE,1.0,0,7.02,150.63611642959674,23.4,2.7,7.02,150.6
2026-01-01T01:05:00,23.4,7.02,151,2.6,0.000428,1.2304,0.010815,0.017992,6.0,100.0,Stable,8.45,1.45,NORMAL_STABLE,1.0,0,7.02,150.63646365181896,23.4,2.6,7.02,150.6
2026-01-01T01:10:00,23.3,7.02,151,2.8,0.000224,1.3189,0.014844,0.035682,6.0,100.0,Stable,8.43,1.45,NORMAL_STABLE,1.0,0,7.02,150.63681087404117,23.3,2.8,7.02,150.6
2026-01-01T01:15:00,23.3,7.02,151,2.8,0.00022,1.9669,0.010714,0.023491,5.99,100.0,Stable,8.44,1.45,NORMAL_STABLE,1.0,0,7.02,150.63715809626342,23.3,2.8,7.02,150.6
2026-01-01T01:20:00,23.4,7.02,151,2.9,0.000255,3.0171,0.016423,0.028314,5.99,100.0,Stable,8.4,1.45,NORMAL_STABLE,1.0,0,7.02,151.23834912548443,23.4,2.9,7.02,151.2
